Country Name,Country Code,2020
Africa Eastern and Southern,AFE,1442.74831
Afghanistan,AFG,529.7412103
Africa Western and Central,AFW,1788.644061
Angola,AGO,3168.253873
Albania,ALB,4390.060189
Andorra,AND,34288.53846
Arab World,ARB,5824.178548
United Arab Emirates,ARE,37497.59259
Argentina,ARG,11344.40574
Armenia,ARM,4021.046264
American Samoa,ASM,11839.0105
Antigua and Barbuda,ATG,13285.64474
Australia,AUS,58043.58066
Austria,AUT,43327.34622
Azerbaijan,AZE,5083.381639
Burundi,BDI,270.6914487
Belgium,BEL,40381.53882
Benin,BEN,1214.659587
Burkina Faso,BFA,731.5220707
Bangladesh,BGD,1643.67331
Bulgaria,BGR,7920.91133
Bahrain,BHR,19514.87488
"Bahamas, The",BHS,27209.46486
Bosnia and Herzegovina,BIH,5433.151358
Belarus,BLR,6234.824328
Belize,BLZ,3968.491883
Bermuda,BMU,100411.8739
Bolivia,BOL,2983.027049
Brazil,BRA,8228.78051
Barbados,BRB,13595.03441
Brunei Darussalam,BRN,30696.87715
Bhutan,BTN,2879.638619
Botswana,BWA,6299.208725
Central African Republic,CAF,414.3966191
Canada,CAN,42294.23457
Central Europe and the Baltics,CEB,14297.50571
Switzerland,CHE,85681.96679
Channel Islands,CHI,
Chile,CHL,12954.40535
China,CHN,10370.35929
Cote d'Ivoire,CIV,2313.793388
Cameroon,CMR,1419.676711
"Congo, Dem. Rep.",COD,505.348339
"Congo, Rep.",COG,1608.779266
Colombia,COL,5892.481636
Comoros,COM,1255.043948
Cabo Verde,CPV,2935.321046
Costa Rica,CRI,12105.92843
Caribbean small states,CSS,9166.657179
Cuba,CUB,7156.106821
Curacao,CUW,15255.67437
Cayman Islands,CYM,76998.81945
Cyprus,CYP,26372.65469
Czech Republic,CZE,18982.79542
Germany,DEU,41259.18225
Djibouti,DJI,3246.746898
Dominica,DMA,6583.223503
Denmark,DNK,56202.16585
Dominican Republic,DOM,7677.710372
Algeria,DZA,3834.438983
East Asia & Pacific (excluding high income),EAP,8161.299604
Early-demographic dividend,EAR,3353.960572
East Asia & Pacific,EAS,11126.28789
Europe & Central Asia (excluding high income),ECA,8125.930019
Europe & Central Asia,ECS,22867.92516
Ecuador,ECU,5317.677257
"Egypt, Arab Rep.",EGY,4028.42092
Euro area,EMU,34434.39809
Eritrea,ERI,
Spain,ESP,24935.39945
Estonia,EST,19735.70475
Ethiopia,ETH,826.950339
European Union,EUU,31008.74762
Fragile and conflict affected situations,FCS,1762.505521
Finland,FIN,44751.3435
Fiji,FJI,4911.083471
France,FRA,35765.38164
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,2839.388103
Gabon,GAB,6818.496837
United Kingdom,GBR,43020.20346
Georgia,GEO,4458.102011
Ghana,GHA,2018.624067
Gibraltar,GIB,
Guinea,GIN,984.008345
"Gambia, The",GMB,692.207538
Guinea-Bissau,GNB,619.2891578
Equatorial Guinea,GNQ,6777.835781
Greece,GRC,17292.62779
Grenada,GRD,8703.932476
Greenland,GRL,
Guatemala,GTM,4126.205512
Guam,GUM,31162.67596
Guyana,GUY,9250.301674
High income,HIC,41021.61862
"Hong Kong SAR, China",HKG,41644.31644
Honduras,HND,2223.446019
Heavily indebted poor countries (HIPC),HPC,961.3678172
Croatia,HRV,12986.23586
Haiti,HTI,1311.708137
Hungary,HUN,14369.26199
IBRD only,IBD,6269.149379
IDA & IBRD total,IBT,4996.528361
IDA total,IDA,1374.565273
IDA blend,IDB,1928.273227
Indonesia,IDN,3756.907174
IDA only,IDX,1094.486049
Isle of Man,IMN,
India,IND,1811.684238
Not classified,INX,
Ireland,IRL,78558.29751
"Iran, Islamic Rep.",IRN,4883.600865
Iraq,IRQ,4247.814412
Iceland,ISL,53193.55566
Israel,ISR,37481.1337
Italy,ITA,29296.62622
Jamaica,JAM,4539.001917
Jordan,JOR,4028.963007
Japan,JPN,34813.21561
Kazakhstan,KAZ,10974.96367
Kenya,KEN,1559.551464
Kyrgyz Republic,KGZ,1098.085364
Cambodia,KHM,1376.412027
Kiribati,KIR,1606.980027
St. Kitts and Nevis,KNA,18294.41845
"Korea, Rep.",KOR,31361.08387
Kuwait,KWT,24429.22046
Latin America & Caribbean (excluding high income),LAC,7600.951428
Lao PDR,LAO,2554.425463
Lebanon,LBN,5382.337125
Liberia,LBR,616.0026928
Libya,LBY,4046.634946
St. Lucia,LCA,8651.349333
Latin America & Caribbean,LCN,8003.126857
Least developed countries: UN classification,LDC,1072.712394
Low income,LIC,721.0099746
